"fruit","day","ripeness","green","yellow","brown"
"fruit_14",0,"Under",0.387,0.592,0.021
"fruit_14",1,"Ripe",0.149,0.844,0.007
"fruit_14",2,"Ripe",0.117,0.801,0.082
"fruit_14",4,"Ripe",0.09,0.771,0.139
"fruit_14",5,"Ripe",0.113,0.774,0.113
"fruit_14",6,"Ripe",0.165,0.767,0.068
"fruit_14",7,"Very",0.144,0.646,0.21
"fruit_14",8,"Very",0.183,0.55,0.267
"fruit_14",9,"Very",0.21,0.429,0.361
"fruit_14",10,"Very",0.108,0.319,0.573
"fruit_14",11,"Very",0.099,0.296,0.605
"fruit_14",12,"Over",0.081,0.208,0.711
"fruit_14",13,"Over",0.097,0.168,0.735
"fruit_14",14,"Over",0.066,0.121,0.813
"fruit_14",15,"Over",0.062,0.075,0.863
"fruit_14",16,"Over",0.056,0.044,0.9
"fruit_14",17,"Over",0.051,0.041,0.908
"fruit_14",18,"Over",0.044,0.034,0.922
"fruit_14",19,"Over",0.043,0.033,0.924
"fruit_14",20,"Over",0.044,0.024,0.932
"fruit_15",0,"Under",0.568,0.425,0.007
"fruit_15",1,"Under",0.295,0.691,0.014
"fruit_15",2,"Ripe",0.27,0.693,0.037
"fruit_15",4,"Ripe",0.168,0.687,0.145
"fruit_15",5,"Ripe",0.157,0.704,0.139
"fruit_15",6,"Ripe",0.186,0.724,0.09
"fruit_15",7,"Ripe",0.158,0.657,0.185
"fruit_15",8,"Very",0.176,0.626,0.198
"fruit_15",9,"Very",0.208,0.528,0.264
"fruit_15",10,"Very",0.168,0.422,0.41
"fruit_15",11,"Very",0.135,0.451,0.414
"fruit_15",12,"Very",0.108,0.431,0.461
"fruit_15",13,"Very",0.153,0.362,0.485
"fruit_15",14,"Over",0.104,0.373,0.523
"fruit_15",15,"Over",0.11,0.242,0.648
"fruit_15",16,"Over",0.101,0.206,0.693
"fruit_15",17,"Over",0.083,0.172,0.745
"fruit_15",18,"Over",0.076,0.137,0.787
"fruit_15",19,"Over",0.074,0.097,0.829
"fruit_15",20,"Over",0.072,0.061,0.867
"fruit_21",0,"Under",0.402,0.566,0.032
"fruit_21",1,"Ripe",0.149,0.82,0.031
"fruit_21",2,"Ripe",0.095,0.887,0.018
"fruit_21",4,"Ripe",0.076,0.885,0.039
"fruit_21",5,"Ripe",0.054,0.901,0.045
"fruit_21",6,"Ripe",0.064,0.886,0.05
"fruit_21",7,"Very",0.074,0.81,0.116
"fruit_21",8,"Very",0.111,0.689,0.2
"fruit_21",9,"Very",0.154,0.598,0.248
"fruit_21",10,"Very",0.104,0.398,0.498
"fruit_21",11,"Over",0.099,0.352,0.549
"fruit_21",12,"Over",0.087,0.269,0.644
"fruit_21",13,"Over",0.081,0.188,0.731
"fruit_21",14,"Over",0.054,0.145,0.801
"fruit_21",15,"Over",0.052,0.107,0.841
"fruit_21",16,"Over",0.045,0.056,0.899
"fruit_21",17,"Over",0.042,0.051,0.907
"fruit_21",18,"Over",0.038,0.038,0.924
"fruit_21",19,"Over",0.043,0.032,0.925
"fruit_21",20,"Over",0.039,0.018,0.943
"fruit_22",0,"Under",0.837,0.145,0.018
"fruit_22",1,"Under",0.197,0.797,0.006
"fruit_22",2,"Ripe",0.129,0.828,0.043
"fruit_22",4,"Ripe",0.108,0.863,0.029
"fruit_22",5,"Ripe",0.049,0.919,0.032
"fruit_22",6,"Ripe",0.048,0.925,0.027
"fruit_22",7,"Ripe",0.054,0.894,0.052
"fruit_22",8,"Ripe",0.069,0.84,0.091
"fruit_22",9,"Very",0.09,0.778,0.132
"fruit_22",10,"Very",0.063,0.666,0.271
"fruit_22",11,"Very",0.072,0.622,0.306
"fruit_22",12,"Very",0.065,0.542,0.393
"fruit_22",13,"Very",0.078,0.488,0.434
"fruit_22",14,"Over",0.068,0.396,0.536
"fruit_22",15,"Over",0.077,0.339,0.584
"fruit_22",16,"Over",0.073,0.26,0.667
"fruit_22",17,"Over",0.074,0.205,0.721
"fruit_22",18,"Over",0.07,0.153,0.777
"fruit_22",19,"Over",0.081,0.115,0.804
"fruit_22",20,"Over",0.09,0.071,0.839
"fruit_23",0,"Under",0.339,0.641,0.02
"fruit_23",1,"Ripe",0.156,0.836,0.008
"fruit_23",2,"Ripe",0.142,0.832,0.026
"fruit_23",4,"Ripe",0.106,0.861,0.033
"fruit_23",5,"Ripe",0.061,0.908,0.031
"fruit_23",6,"Ripe",0.055,0.915,0.03
"fruit_23",7,"Ripe",0.098,0.83,0.072
"fruit_23",8,"Very",0.111,0.783,0.106
"fruit_23",9,"Very",0.16,0.683,0.157
"fruit_23",10,"Very",0.1,0.499,0.401
"fruit_23",11,"Very",0.119,0.385,0.496
"fruit_23",12,"Very",0.099,0.33,0.571
"fruit_23",13,"Over",0.142,0.262,0.596
"fruit_23",14,"Over",0.107,0.209,0.684
"fruit_23",15,"Over",0.104,0.159,0.737
"fruit_23",16,"Over",0.099,0.113,0.788
"fruit_23",17,"Over",0.087,0.083,0.83
"fruit_23",18,"Over",0.066,0.075,0.859
"fruit_23",19,"Over",0.074,0.068,0.858
"fruit_23",20,"Over",0.066,0.037,0.897
"fruit_26",0,"Under",0.178,0.813,0.009
"fruit_26",1,"Ripe",0.083,0.909,0.008
"fruit_26",2,"Ripe",0.05,0.924,0.026
"fruit_26",4,"Ripe",0.046,0.9,0.054
"fruit_26",5,"Ripe",0.061,0.885,0.054
"fruit_26",6,"Ripe",0.095,0.845,0.06
"fruit_26",7,"Very",0.124,0.695,0.181
"fruit_26",8,"Very",0.169,0.577,0.254
"fruit_26",9,"Very",0.216,0.463,0.321
"fruit_26",10,"Over",0.086,0.345,0.569
"fruit_26",11,"Over",0.095,0.317,0.588
"fruit_26",12,"Over",0.069,0.26,0.671
"fruit_26",13,"Over",0.092,0.199,0.709
"fruit_26",14,"Over",0.06,0.182,0.758
"fruit_26",15,"Over",0.052,0.143,0.805
"fruit_26",16,"Over",0.056,0.084,0.86
"fruit_26",17,"Over",0.059,0.071,0.87
"fruit_26",18,"Over",0.048,0.051,0.901
"fruit_26",19,"Over",0.058,0.037,0.905
"fruit_26",20,"Over",0.054,0.023,0.923
